ACCNUM	ENTREZID
XP_309073	1270370
EAU77411	4577720
EAA05234	1270637
XP_554910	3291735
XP_555259	1277763
XM_308674	1270018
EAA07054	1267440
XP_001237411	1273045
EAA10941	4576649
XM_555163	3291696
EAA03326	1268955
EAA45924	1268272
XP_312558	1273565
EAA04716	1270284
XM_003436977	11176027
XP_308787	1270115
EAA43977	1278213
EAA04245	1270206
XP_003435810	1281811
EAA04487	1269777
XM_310954	1272083
XM_315346	1276041
XP_316625	1277181
XM_001238246	4578163
EAA45720	1267450
XM_309332	1270617
XP_553911	3292107
XM_309403	1270684
XP_552645	3291384
EGK97273	4575976
XM_319778	1279986
XP_003436031	11175803
XM_001688264	5668012
EAL41524	1270591
CBL74933	1269521
XP_564645	3290399
Q7QB24	1274064
XM_321276	1281323
EGK97009	1274002
XM_001230461	4397779
XM_314359	1275131
XM_317775	1278220
XM_001238496	4577422
EAU76371	4578411
EAL39205	3292067
EAA09984	1275333
EAA08672	1274111
EAA11844	1276241
EAU75755	4577477
EAA08751	1274362
XP_318014	1278428
XM_319204	1279480
XM_320996	1281061
XM_003436519	11175805
XP_316270	1276869
XP_315238	1275944
XM_317536	1278014
Q7QGP8	1271111
XP_317660	1278121
XP_318829	1279152
XM_319447	1279680
XM_565438	3290232
Q7QB09	1274093
EGK96976	1273881
XP_001688368	5667750
EAA43063	1281107
XP_314515	1275277
EAA13028	1278245
XP_308510	1269858
XM_001231138	4576112
XM_315936	1276573
XP_311899	1272968
EAA11696	1276334
XM_003436948	11176116
XP_001237671	4576335
EAA01278	1281566
EGK96201	1269358
XM_314886	1275619
XP_001688924	1277171
XP_321405	1281488
Q7QDK2	1272785
EAA11006	1276727
XP_001688897	5667213
EAL38954	3291831
EAA07381	1272786
XP_311518	1272618
EAU76760	4577788
XP_318560	1278918
XP_003436434	1269184
XP_321054	1281116
XM_321465	1281540
EAA07240	1272654
XP_316920	1277451
EAL38470	3290563
XP_321252	1281307
XP_001237287	4576013
EAA02427	1267767
EGK97050	11175584
EAA43998	4578504
XP_003437068	1272287
XM_001238556	4577294
EAA11110	1277092
XM_320609	1280744
EDO63495	5667119
XM_307262	1268693
XM_308934	1270253
XP_321934	1281947
XM_001231020	4397751
EAA01139	1281304
EGK96327	4577453
EAA01325	1281526
EAA05079	1270830
XM_001688711	1276638
XP_314485	1275249
EAA10747	1276373
EAA11286	1276029
XM_003436268	11175871
XP_552886	1279952
EAA09457	1274834
EGK96349	11175866
XP_312102	1273150
XM_003436064	11175449
XM_319587	1279808
EAL38922	3291388
EAA01729	1281727
Q7Q597	1277153
XM_318995	1279294
EAA09314	1274948
EAA10485	1275723
EAA13878	1279582
XM_315954	1276591
XP_317550	1278024
XM_001688820	1277058
XP_559909	3291372
EAA12907	1278039
XM_003436513	11175667
EAA11635	1276527
EGK96574	11176039
EAA06873	1272346
XP_001688000	5667061
XP_311717	1272803
XM_306496	1267939
XM_001688468	5667179
XP_003436996	11176116
XM_317746	1278196
EAA11608	1276748
XM_562761	3290980
XP_316826	1277369
EAL39670	3291636
EAA03664	1269341
EAA00906	1281581
EGK96990	1273930
XM_319001	1279300
XM_321046	1281108
XP_001688069	5666907
EAA07351	1272821
XM_001688828	5667331
XP_315815	1276468
EAL41849	3290324
XP_001238346	4577565
XM_001688213	5667797
XP_310785	1271928
EAA05967	1271452
XP_320832	1280958
XP_553120	3291920
XP_003436055	11176158
XM_321237	1281294
EGK96804	1273278
EAA07048	1272553
EDO63255	5667499
EAA06305	4575958
EAA14958	1280129
EAU76410	4576096
EAL38945	3291826
XM_001688448	5667239
EAU77181	4577712
XP_311984	1273043
EAA11860	1276236
XM_001237304	4576095
EDO63923	1277168
XM_311607	1272705
XP_001237311	4576076
EAA00355	1280587
XM_318427	1278795
XM_553723	4578030
XP_309323	1270611
Q5TX98	3290580
XP_312443	1273465
EAU77432	4577951
Q7PWP7	1279861
XP_309921	1271172
XP_003436860	1275942
XM_321659	1281707
EAA07065	1272551
XP_001688585	5668232
XM_316706	1277260
XM_001689201	5667945
XP_314248	1275026
EAA13257	1278478
XM_001230928	4576955
XM_560786	3292265
EAA10227	1275671
XP_003436343	1272962
XP_001237493	4576953
XP_001687834	5667663
Q7QI30	1270425
EAA12627	1277649
XP_003436143	1273448
Q5TNX0	3292124
XP_003436490	11176154
XP_562161	1274560
EAL40119	1277155
XP_321887	1281912
XP_003436276	1273088
EAL40654	3290968
EGK96486	11175538
XP_003436089	11175807
XM_311255	1272310
XM_552360	3291446
XM_308003	1269373
XP_308599	1269945
Q7PMB7	1279344
EAA15074	1280241
XM_003436733	1274454
XP_310010	1271250
XM_003436245	11175873
XM_316132	1276749
XM_318438	1278805
EDO64743	5667054
XP_313388	1274290
EAA05678	1271189
EDO64405	5667800
EGK97298	11175941
EGK97437	1281168
EAA03396	1267440
XP_311957	1273019
XP_307508	1268932
XP_319784	1279991
XP_001238517	4577244
EAA11066	1276608
Q7PUJ8	1281092
XP_320052	1280223
XM_313650	1274513
XM_001689251	5667642
XP_313379	1274282
EGK96671	1272962
XM_312165	1273210
XM_321141	1281202
EAA11821	1277272
EAU75571	4577180
Q7Q3V2	1277891
XM_309965	1271214
XP_001688962	5667644
EAA04282	1269540
XP_311909	1272978
XP_001688486	1274760
EAA14719	1280165
EAA12752	1277465
XP_003436933	1272080
XM_319225	1279500
EAA12310	1277605
XP_320893	1281018
XP_003435751	1282051
EAA05428	1271082
EAL39424	3289853
EDO64533	5667069
XM_001237061	4576491
XP_001689395	5666746
EAA05517	1270964
EAA05076	1270613
XM_309349	1270634
EDO64851	5668394
XP_319979	1280163
XM_320020	1280197
EAU77250	1271727
XM_310173	1271390
XM_556532	1276528
XM_001689130	5668318
XM_321966	1281976
XM_003436835	1277310
EDO64449	5667416
XM_001689324	5667666
XM_003437067	1277346
XP_001687911	1269724
XM_317709	1278164
EGK96268	1270427
EDO63458	5668247
XP_001237956	4578192
XM_310375	1271554
XP_314346	1275121
EGK97151	1274510
XM_551203	1281563
EAA04172	1269955
XP_308806	1270134
EAA01640	1281101
EAL42421	3292650
EAL41314	1272261
XP_319890	1280088
EAA08103	1273568
XP_565888	3289683
XM_319799	1280005
EAA06386	1272138
XP_311291	1272345
EAA00453	1280637
EGK96582	1272313
XM_317548	1278022
EAA11359	3290206
XM_318978	1279280
XM_315753	1276410
XM_319030	1279323
XP_001688188	5667928
XP_003435820	1281765
XP_001688077	1270096
EAA07957	1273612
EGK97633	1281949
XP_001688756	5666977
XM_314130	1274934
EAA05991	1271468
XM_001689284	5667482
XM_003437131	1270518
XM_003435880	3290518
EAA00144	1280777
XM_565217	3290282
XM_316875	1277414
XM_315566	1276246
XP_309374	1270658
XP_001689235	5667851
XM_317446	1277932
EAA11690	1276755
XM_314495	1275257
Q7QDZ3	1272535
XM_309624	1270872
EAU76201	4576088
XM_319175	1279455
XM_001687893	5667146
XP_001230557	4578478
XM_001687875	5666937
XP_001238452	4577106
XM_314729	1275482
XM_001689209	5667845
XP_321991	1281997
EAA00855	1281632
XM_560153	1270438
XM_311351	1272401
XP_001689089	1278467
Q7PPI5	1275768
XM_308629	1269974
XM_003435772	1281765
XP_001237443	4576830
XM_003437125	1270513
XP_313829	1274674
XP_309689	1270953
EDO64438	5667910
XP_563989	1271018
XP_317252	1277759
EDO63520	1278521
XP_314860	4578049
XP_319386	1279624
Q7Q673	1276674
XP_311180	1272455
EAA04082	1270272
EAA10966	1276081
XM_556066	3289965
EDO64482	5666835
XM_313434	1274331
EAA08078	1273375
XM_313591	1274463
XP_312264	1273299
XM_307544	1268964
XP_001238276	4577476
EAA05299	1270598
XP_316898	1277483
EAL40658	1273988
EAA00521	1280805
XP_316980	1277513
XP_001237902	4578153
XP_001230369	4578440
XP_550681	3290563
XM_317620	1278083
XP_320383	1280533
XP_314506	1275268
XM_314171	1274969
XM_003436770	11175644
XM_566239	1272098
XM_310694	1271840
XM_550868	3290534
EAA12159	1277624
XP_310805	1271944
XM_312907	1273876
EAA14808	1279927
XP_320526	1280665
EGK96787	1273232
XP_314073	1274883
EAA11116	1276858
XM_001688649	5667371
XM_556483	3290060
XP_321568	1281623
EAA14456	1278973
EAA07762	1273129
XM_313166	1274092
XP_003436579	1274388
EAA09099	1274544
XM_308885	1270206
XM_001688718	5666882
XM_308645	1269990
XM_003436709	11175473
XP_312518	1273533
XM_001688204	5668023
XM_003436525	11175889
XM_003436381	11175675
XP_312295	1273329
EAA09454	1274822
XP_001230549	4397708
XM_309883	1271135
XP_316198	1276806
XM_313797	1274646
XM_310174	1271391
EDO64178	5667711
XM_003436866	11175908
XM_001688668	5667270
EAA01759	1281917
XP_001688787	1276778
XP_314027	1274821
XP_308503	1269851
XM_313322	1274233
XM_322055	1282054
EAA13843	1279562
XP_560277	3289930
EGK97575	3290476
XM_307879	1269260
XM_315598	1276274
EAA01411	1281089
XP_320080	1280250
XP_310374	1271553
XM_314553	1275315
EAA06715	1271863
EGK96250	11175841
XP_308609	1269955
EGK96620	1272774
XM_316380	1276966
XP_313587	1274459
XM_001687812	1269554
XM_001687768	5667425
EGK96587	11175821
EAA13902	1279372
XM_003436946	11175699
XM_309204	1270502
XM_316727	1277278
XP_317097	1277623
XP_564680	3290393
EAA13707	1278913
XM_310668	1271814
EAA43543	1279271
XM_312035	1273089
XM_001689162	5668151
XP_321672	1281720
EAA07736	1273365
EAL39490	1278254
XP_565033	1269946
XM_001689339	5666779
XM_001687735	5668412
XM_314898	1275631
Q7Q492	1277692
EAA44652	1274266
EAA04139	1269574
EDO64228	5667433
XP_003436906	11175754
XP_001688638	1276041
XM_311699	1272788
EAL41764	1269688
XM_556395	1276413
XM_321402	1281485
EGK96698	1273032
EAA12280	1277495
XP_321784	1281821
XM_320028	1280205
EAL39560	3291723
Q7PZC3	1280813
EGK96211	1269366
XM_001231010	4578496
XP_314551	1275313
EAU75646	4577271
EAA45275	1271298
XM_315554	1276235
XM_311516	1272615
XP_319532	1279782
EAA45034	1272406
EGK97660	1282046
XP_001230700	4577951
XP_319707	1279922
XM_321535	1281594
XM_316047	1276677
EAA45382	1270513
XM_001237508	4577382
EAA11268	1277281
EAA01739	1281902
XM_307269	1268703
EAA08375	1273737
XM_314544	1275306
Q7QEY6	1272053
XP_308855	1270178
XP_003436603	1271511
XP_556403	1276421
EAA03957	1269610
Q7PN78	1277649
XP_321377	1281462
XP_555630	1278075
XP_313394	1274294
XP_003436317	1273029
XM_316598	1277157
XP_557859	3291789
XM_309083	1270396
XP_321960	1281970
Q7Q5G3	1277063
XP_308955	1270273
XM_003435730	11175515
XM_312506	1273522
EGK96829	11175703
XM_001237174	1270398
XP_560987	3292521
XM_318634	1278979
XP_306212	1267655
XM_317654	1278115
XP_312323	1273356
XM_551868	3291553
XM_308390	1269741
XP_318069	1278476
XP_559252	1272457
XM_308949	1270267
XM_317121	1277646
XP_319122	1279406
XM_001688092	5666849
XP_001688572	5668380
EAU77193	4577863
XP_308332	1269687
XP_317829	1278364
EAA00948	1281425
XP_312147	1273193
XM_321620	1281671
XM_318429	1278797
XM_001689286	5667539
XM_003436648	1270888
EAA07756	1273151
XP_003435737	1277162
XP_320351	1280504
XM_321005	4576904
EGK96942	1273752
XP_312547	1273557
EAL39909	1276424
EAA07781	1273189
EAA13809	1279616
XM_556645	3290078
XP_001230817	3291074
XP_319263	1279535
EDO63400	5668110
XP_320033	1280210
XP_003436369	1272903
XM_003435790	3290476
Q7QCN6	1273238
XM_003435676	1276160
XM_312567	1273574
XP_003436192	11175570
EAU75639	4577308
XM_321802	1281837
EGK96259	11175550
XP_003436068	1269312
EDO63888	3290175
XM_319454	1279687
XP_315067	1275780
XP_321395	1281479
XM_316031	1276661
XM_315840	1276484
EAL41019	3291086
EDO64848	5668347
XP_001688889	5667295
EAU76453	4576343
Q7PNM0	1276290
XP_556443	3290045
