mmu:106740	uncharacterized LOC106740
mmu:23859	Dlg2, A330103J02Rik, B230218P12Rik, B330007M19Rik, Dlgh2, Gm1197, PSD93; discs, large homolog 2 (Drosophila); K12075 discs large protein 2/3
mmu:30923	Foxe3, FREAC8, dyl, rct; forkhead box E3; K09398 forkhead box protein E
mmu:20371	Foxp3, JM2, scurfin, sf; forkhead box P3; K10163 forkhead box P3
mmu:100526482	Mir466o, Mir4660, mmu-mir-466o; microRNA 466o
mmu:100316707	Mir1957a, Mir1957, mmu-mir-1957, mmu-mir-1957a; microRNA 1957a
mmu:233222	Mrgpra3, Mrga3; MAS-related GPR, member A3
mmu:74297	1700106J16Rik, Ccdc182; RIKEN cDNA 1700106J16 gene
mmu:723830	Mir28a, Mir28, Mirn28, mmu-mir-28, mmu-mir-28a; microRNA 28a; K17366 microRNA 28
mmu:235854	Mrgpra4, Mgrg10, MrgA4; MAS-related GPR, member A4
mmu:14370	Fzd8, Fz8; frizzled homolog 8 (Drosophila); K02375 frizzled 5/8
mmu:20666	Sox11, 1110038H03Rik, 6230403H02Rik, AI836553, end1; SRY (sex determining region Y)-box 11; K09268 transcription factor SOX4/11/12 (SOX group C)
mmu:15228	Foxg1, 2900064B05Rik, BF-1, Bf1, Hfh9, Hfhbf1; forkhead box G1; K09385 forkhead box protein G
mmu:239650	Ccdc184, 5630400A08, AI836003; coiled-coil domain containing 184
mmu:100169889	Peg3os, Apeg3, Peg3as; Peg3 opposite strand
mmu:11921	Atoh1, Hath1, MATH-1, Math1, bHLHa14; atonal homolog 1 (Drosophila); K09083 atonal protein 1/7
mmu:20674	Sox2, Sox-2, lcc, ysb; SRY (sex determining region Y)-box 2; K16796 transcription factor SOX2 (SOX group B)
mmu:107585	Dio3; deiodinase, iodothyronine type III (EC:1.97.1.11); K07754 thyroxine 5-deiodinase [EC:1.21.99.3]
mmu:15977	Ifnb1, IFN-beta, IFNB, Ifb; interferon beta 1, fibroblast; K05415 interferon beta
mmu:171429	Slc26a6, B930010B04Rik, CFEX, Pat-1, Pat1; solute carrier family 26, member 6; K14704 solute carrier family 26 (sulfate anion transporter), member 6
mmu:18121	Nog; noggin; K04658 noggin
mmu:20675	Sox3, Sox-3; SRY (sex determining region Y)-box 3; K09267 transcription factor SOX1/3/14/21 (SOX group B)
mmu:233081	Ffar1, Gpr40; free fatty acid receptor 1; K04325 free fatty acid receptor 1
mmu:17132	Maf, 2810401A20Rik, A230108G15Rik, AW047063, c-maf; avian musculoaponeurotic fibrosarcoma (v-maf) AS42 oncogene homolog; K09035 transcription factor Maf
mmu:50914	Olig1, AI836478, AW494459, Bhlhb6, Olg-1, Oligo1, bHLHe21; oligodendrocyte transcription factor 1; K09085 class B basic helix-loop-helix protein 1/6/7
mmu:12569	Cdk5r1, Cdk5r, D11Bwg0379e, p25, p35; cyclin-dependent kinase 5, regulatory subunit 1 (p35); K11716 cyclin-dependent kinase 5 activator 1
mmu:21674	Sry, Tdf, Tdy; sex determining region of Chr Y; K09266 sex-determining region Y protein (SOX group A)
mmu:100040970	Rpl14-ps1, Gm9811; ribosomal protein L14, pseudogene 1
mmu:80885	Hcar2, Gpr109a, Gpr109b, HM74, Niacr1, PUMA-G, Pumag, mHM74b; hydroxycarboxylic acid receptor 2; K08402 G protein-coupled receptor 109
mmu:16857	Lgals6, galectin-6; lectin, galactose binding, soluble 6; K10091 galectin-4
mmu:76804	Kdm4c, 2410141F18Rik, AA517467, Gasc1, Jmjd2c; lysine (K)-specific demethylase 4C (EC:1.14.11.-); K06709 jumonji domain-containing protein 2 [EC:1.14.11.-]
mmu:14362	Fzd1, AW227548, FZ-1, Fz1; frizzled homolog 1 (Drosophila); K02432 frizzled 1/7
mmu:16493	Kcna5, Kv1.5; potassium voltage-gated channel, shaker-related subfamily, member 5; K04878 potassium voltage-gated channel Shaker-related subfamily A member 5
mmu:16491	Kcna3, Kca1-3, Kv1.3, Mk-3; potassium voltage-gated channel, shaker-related subfamily, member 3; K04876 potassium voltage-gated channel Shaker-related subfamily A member 3
mmu:93897	Fzd10, Fz-10; frizzled homolog 10 (Drosophila); K02842 frizzled 9/10
mmu:21824	Thbd, AI385582, CD141, TM; thrombomodulin; K03907 thrombomodulin
mmu:329504	Lcmt2, D330024M17, Tyw4; leucine carboxyl methyltransferase 2 (EC:2.1.1.290 2.3.1.231); K15451 tRNA wybutosine-synthesizing protein 4 [EC:2.1.1.290 2.3.1.231]
mmu:14371	Fzd9, mfz9; frizzled homolog 9 (Drosophila); K02842 frizzled 9/10
mmu:17301	Foxd2, AI426778, Mf2; forkhead box D2; K09397 forkhead box protein D
mmu:14234	Foxc2, Fkh14, Hfhbf3, MFH-1, Mfh1; forkhead box C2; K09396 forkhead box protein C
mmu:93871	Brwd1, 5330419I02Rik, D530019K20Rik, G1-403-16, Wdr9, repro5; bromodomain and WD repeat domain containing 1; K11798 bromodomain and WD repeat domain containing protein 1/3
mmu:93971	Klra19, Ly49s; killer cell lectin-like receptor, subfamily A, member 19
mmu:22114	Tssk1, Stk22a, TSK-1, Tsk1, Tssk, Tssk1b; testis-specific serine kinase 1 (EC:2.7.11.1); K08811 testis-specific serine kinase [EC:2.7.11.1]
mmu:18993	Pou3f3, Brn-1, Brn1, Otf8, Skin1; POU domain, class 3, transcription factor 3; K09365 POU domain transcription factor, class 3
mmu:26421	Prl2c4, MRP-3, Mrpplf3, PLF-3, mrp/plf3; prolactin family 2, subfamily c, member 4
mmu:13216	Defa1, Defcr, Defcr1; defensin, alpha 1; K05230 defensin, alpha
mmu:104433	Snora62, E2, MBI-13, MBI-136, Rnu108; small nucleolar RNA, H/ACA box 62
mmu:654359	Gm12338, OTTMUSG00000006216; cytochrome c oxidase, subunit VIIc pseudogene
mmu:320178	4921529L05Rik; RIKEN cDNA 4921529L05 gene
mmu:75233	4930532M18Rik; RIKEN cDNA 4930532M18 gene
mmu:231989	Gm4872, D430007I03; predicted gene 4872
mmu:100040214	Gm10228; predicted gene 10228
mmu:613258	A730017L22Rik; RIKEN cDNA A730017L22 gene
mmu:320249	D130009I18Rik; RIKEN cDNA D130009I18 gene
mmu:208079	A530053G22Rik; RIKEN cDNA A530053G22 gene
mmu:73399	1700060C20Rik; RIKEN cDNA 1700060C20 gene
mmu:71316	4933430M04Rik; RIKEN cDNA 4933430M04 gene
mmu:100038584	Gm14812, OTTMUSG00000018066; predicted gene 14812
mmu:100861572	snoRNA DQ267102
mmu:100861571	snoRNA DQ267101
mmu:100861570	snoRNA DQ267100
mmu:74970	4930483O08Rik; RIKEN cDNA 4930483O08 gene
mmu:74930	4930480M12Rik; RIKEN cDNA 4930480M12 gene
mmu:328837	C330011F03Rik; RIKEN cDNA C330011F03 gene
mmu:328646	Gm16863, A830060N17; predicted gene, 16863
mmu:328324	5930438M14Rik; RIKEN cDNA 5930438M14 gene
mmu:100043169	Gm4278; predicted gene 4278
mmu:629393	Gm20759; predicted gene, 20759
mmu:75630	1700020G17Rik, 4930480D05Rik; RIKEN cDNA 1700020G17 gene
mmu:74712	4930511A02Rik; RIKEN cDNA 4930511A02 gene
mmu:73867	4930428E07Rik; RIKEN cDNA 4930428E07 gene
mmu:52027	D17Ertd648e; DNA segment, Chr 17, ERATO Doi 648, expressed
mmu:71457	7420701I03Rik; RIKEN cDNA 7420701I03 gene
mmu:69679	2310043O21Rik; RIKEN cDNA 2310043O21 gene
mmu:75377	4930597G03Rik; RIKEN cDNA 4930597G03 gene
mmu:69279	1700001D01Rik; RIKEN cDNA 1700001D01 gene
mmu:74092	Tbc1d22bos, 0610038L08Rik; TBC1 domain family, member 22B, opposite strand
mmu:76961	2210420H20Rik; RIKEN cDNA 2210420H20 gene
mmu:73400	1700064J06Rik; RIKEN cDNA 1700064J06 gene
mmu:320176	D930032P07Rik; RIKEN cDNA D930032P07 gene
mmu:328579	B230214G05Rik; RIKEN cDNA B230214G05 gene
mmu:619327	G630093K05Rik; RIKEN cDNA G630093K05 gene
mmu:320163	4930525G20Rik; RIKEN cDNA 4930525G20 gene
mmu:73624	1700123O12Rik; RIKEN cDNA 1700123O12 gene
mmu:414124	F730035M05Rik; RIKEN cDNA F730035M05 gene
mmu:328186	Gm10336, B330003H21; predicted gene 10336
mmu:433047	Gm20741; keratin associated protein pseudogene
mmu:380934	Gm1591; expressed sequence AA536875
mmu:100504486	Gdap10, Gdap-ps; ganglioside-induced differentiation-associated-protein 10
mmu:791361	Gm16497; predicted gene 16497
mmu:622894	Gm6367, EG622894; predicted gene 6367
mmu:432713	Gm5441; predicted gene 5441
mmu:78025	4930540M03Rik; RIKEN cDNA 4930540M03 gene
mmu:75357	4930557J02Rik; RIKEN cDNA 4930557J02 gene
mmu:100038706	Gm10637; predicted gene 10637
mmu:73639	1700126H18Rik; RIKEN cDNA 1700126H18 gene
mmu:73295	1700047L14Rik; RIKEN cDNA 1700047L14 gene
mmu:622167	Gm12718, OTTMUSG00000008109; predicted gene 12718
mmu:545691	Fhad1os1, Gm13037, OTTMUSG00000010113; forkhead-associated (FHA) phosphopeptide binding domain 1, opposite strand 1
mmu:75910	4930590L20Rik; RIKEN cDNA 4930590L20 gene
mmu:329844	C630028M04Rik; RIKEN cDNA C630028M04 gene
mmu:68400	0610043K17Rik; RIKEN cDNA 0610043K17 gene
mmu:77269	9430019J16Rik; RIKEN cDNA 9430019J16 gene
mmu:73938	4930412B13Rik; RIKEN cDNA 4930412B13 gene
mmu:74945	Acss2os, 4930471I20Rik; acyl-CoA synthetase short-chain family member 2, opposite strand
mmu:74702	4930517E11Rik; RIKEN cDNA 4930517E11 gene
mmu:70933	4931402G19Rik; RIKEN cDNA 4931402G19 gene
mmu:75066	4930521E06Rik; RIKEN cDNA 4930521E06 gene
mmu:75203	4930539N22Rik; RIKEN cDNA 4930539N22 gene
mmu:329623	Gm11548, E330009D11, OTTMUSG00000002110; predicted gene 11548
mmu:75818	4930478L05Rik; RIKEN cDNA 4930478L05 gene
mmu:626410	Gm20755; predicted gene, 20755
mmu:625901	Gm6634, EG625901; predicted gene 6634
mmu:622124	Gm20750; predicted gene, 20750
mmu:73454	1700063A18Rik; RIKEN cDNA 1700063A18 gene
mmu:330664	C230079O03Rik; RIKEN cDNA C230079O03 gene
mmu:100504717	Gm12709, OTTMUSG00000008056; predicted gene 12709
mmu:623796	Gm12504, OTTMUSG00000007209; prothymosin alpha pseudogene
mmu:432956	D030024E09Rik; RIKEN cDNA D030024E09 gene
mmu:107003	A330093E20Rik, AU043608; RIKEN cDNA A330093E20 gene
mmu:78605	6430706D22Rik; RIKEN cDNA 6430706D22 gene
mmu:15365	Hmga2-ps1, EG666235, Gm7996, Hmgic-ps1, [y]i-c; high mobility group AT-hook 2, pseudogene 1
mmu:100217413	Scarna10, MBI-52; small Cajal body-specific RNA 10
mmu:100216535	Scarna9, Z32; small Cajal body-specific RNA 9
mmu:69055	1810007D17Rik; RIKEN cDNA 1810007D17 gene
mmu:665931	Rplp2-ps1, Gm7852; ribosomal protein, large P2, pseudogene 1
mmu:22314	Vmn2r-ps159, V2r8, V2r9, Vmn2r-ps160; vomeronasal 2, receptor, pseudogene 159
mmu:100529077	Snord42b, MBII-287, U42B; small nucleolar RNA, C/D box 42B
mmu:100529076	Snord42a, MBII-292, U42A; small nucleolar RNA, C/D box 42A
mmu:100529075	Snord100, MBII-429, Z51; small nucleolar RNA, C/D box 100
mmu:100529074	Snora33, ACA33, MBI-42; small nucleolar RNA, H/ACA box 33
mmu:100217417	Snora34, MBI-89; small nucleolar RNA, H/ACA box 34
mmu:100217416	Snora2b, MBI-137; small nucleolar RNA, H/ACA box 2B
mmu:100217418	Snora44, MBI-64; small nucleolar RNA, H/ACA box 44
mmu:100217420	Snora81, MBI-61; small nucleolar RNA, H/ACA box 81
mmu:100217442	Snora30, MBI-26; small nucleolar RNA, H/ACA box 30
mmu:100217449	Snora36b, MBI-87; small nucleolar RNA, H/ACA box 36B
mmu:100217450	Snora47, MBI-115; small nucleolar RNA, H/ACA box 47
mmu:100039727	1700049E15Rik, Gm15761, OTTMUSG00000026044; RIKEN cDNA 1700049E15 gene
mmu:241051	AA619741; PHD finger protein 19 pseudogene
mmu:257924	Olfr947-ps1, MOR171-43; olfactory receptor 947, pseudogene 1
mmu:791422	Gm11426, OTTMUSG00000000913; predicted gene 11426
mmu:71011	4933401B06Rik; GLE1 RNA export mediator pseudogene
mmu:791378	Gm10280; predicted gene 10280
mmu:74724	4930512B01Rik, 4930472D12Rik; RIKEN cDNA 4930512B01 gene
mmu:78547	E130304I02Rik; RIKEN cDNA E130304I02 gene
mmu:100037396	D030047H15Rik, Gm15924, OTTMUSG00000027889; RIKEN cDNA D030047H15 gene
mmu:100038666	Gm12298, OTTMUSG00000005912; predicted gene 12298
mmu:627828	Gm6793, EG627828; heterogeneous nuclear ribonucleoprotein A3 pseudogene
mmu:625853	Olfr1077-ps1, MOR189-4P, OTTMUSG00000013632; olfactory receptor 1077, pseudogene 1
mmu:100038617	Gm10466; predicted gene 10466
mmu:100415784	Gm17830; predicted gene, 17830
mmu:100043885	Gm4710; predicted gene 4710
mmu:100379145	Snora23, MBI-1; small nucleolar RNA, H/ACA box 23
mmu:384639	Gm5334, EG384639; tetraspanin 7 pseudogene
mmu:407824	cDNA sequence BC020402
mmu:378954	3000002C10Rik; glyceraldehyde-3-phosphate dehydrogenase pseudogene
mmu:11730	Ang3, Angl, Ef-5, Rnase5c; angiogenin, ribonuclease A family, member 3
mmu:100316932	Snora28, MBI-13; small nucleolar RNA, H/ACA box 28
mmu:627110	Tubb2a-ps2, C79445; tubulin, beta 2a, pseudogene 2
mmu:116911	Cts8-ps, Cts2-ps; cathepsin 8, pseudogene
mmu:629678	Gm6994, EG629678; predicted gene 6994
mmu:100217415	Scarna6, MBI-46; small Cajal body-specific RNA 6
mmu:100313943	Snora26, MBI-6; small nucleolar RNA, H/ACA box 26
mmu:100313519	Snord17, MBI-43; small nucleolar RNA, C/D box 17
mmu:72813	2810454H06Rik; RIKEN cDNA 2810454H06 gene
mmu:66184	Rps4l, 1110033J19Rik, AA407494, Rps4y2; ribosomal protein S4-like
mmu:100043682	Gm10584; predicted gene 10584
mmu:100216538	Snord1a, snR38; small nucleolar RNA, C/D box 1A
mmu:100216536	Snord1c; small nucleolar RNA, C/D box 1C
mmu:100216531	Snord1b; small nucleolar RNA, C/D box 1B
mmu:100217460	Snord85, MBII-251, Z50; small nucleolar RNA, C/D box 85
mmu:100216540	Snord95; small nucleolar RNA, C/D box 95
mmu:100216534	Snord96a; small nucleolar RNA, C/D box 96A
mmu:100217469	Snord91a, MBII-296; small nucleolar RNA, C/D box 91A
mmu:100217468	Snord45b, MBII-412; small nucleolar RNA, C/D box 45B
mmu:100217466	Scarna17, MBII-119; small Cajal body-specific RNA 17
mmu:100217465	Snord111, MBII-82; small nucleolar RNA, C/D box 111
mmu:100217464	Snora41, MBI-83; small nucleolar RNA, H/ACA box 41
mmu:100217463	Snord98, MBII-419; small nucleolar RNA, C/D box 98
mmu:100217459	Snord70, MBII-234, snoRNA234; small nucleolar RNA, C/D box 70
mmu:100217458	Snord67, MBII-166; small nucleolar RNA, C/D box 67
mmu:100217457	Snord58b, MBII-199; small nucleolar RNA, C/D box 58B
mmu:100217456	Snord53, MBII-35; small nucleolar RNA, C/D box 53
mmu:100217455	Snord49a, MBII-243; small nucleolar RNA, C/D box 49A
mmu:100217454	Snord37, MBII-376; small nucleolar RNA, C/D box 37
mmu:100217453	Snord16a, MBII-98; small nucleolar RNA, C/D box 16A
mmu:100217452	Snord110, MBII-55; small nucleolar RNA, C/D box 110
mmu:100217451	Snora7a, MBI-141; small nucleolar RNA, H/ACA box 7A
mmu:100217448	Scarna8, MBI-57; small Cajal body-specific RNA 8
mmu:100217447	Scarna3b, MBI-100; small Cajal body-specific RNA 3B
mmu:100217446	Snord47, MBII-96; small nucleolar RNA, C/D box 47
mmu:100217445	Snord8, MBII-28; small nucleolar RNA, C/D box 8
mmu:100217444	Snord65, MBII-135, snoRNA135; small nucleolar RNA, C/D box 65
mmu:100217443	Snord12, MBII-99; small nucleolar RNA, C/D box 12
mmu:100217441	Snord23, MBII-115; small nucleolar RNA, C/D box 23
mmu:100217438	Scarna2, MBII-382; small Cajal body-specific RNA 2
mmu:100217437	Snord99, MBII-420; small nucleolar RNA, C/D box 99
mmu:100217436	Snord93, Gm22397, MBII-336; small nucleolar RNA, C/D box 93
mmu:100217435	Snord90, MBII-295; small nucleolar RNA, C/D box 90
mmu:100217434	Snord88c, MBII-180; small nucleolar RNA, C/D box 88C
mmu:100217433	Snord88a, MBII-211; small nucleolar RNA, C/D box 88A
mmu:100217432	Snord71, MBII-239; small nucleolar RNA, C/D box 71
mmu:100217431	Snord69, MBII-210; small nucleolar RNA, C/D box 69
mmu:100217430	Snord66, MBII-142, snoRNA142; small nucleolar RNA, C/D box 66
mmu:100217429	Snord64, MBII-13; small nucleolar RNA, C/D box 64
mmu:100217428	Snord57, MBII-434; small nucleolar RNA, C/D box 57
mmu:100217427	Snord52, MBII-297; small nucleolar RNA, C/D box 52
mmu:100217426	Snord49b, MBII-252, MBII-366; small nucleolar RNA, C/D box 49B
mmu:100217425	Snord45c, MBII-401; small nucleolar RNA, C/D box 45C
mmu:100217424	Snord38a, MBII-329; small nucleolar RNA, C/D box 38A
mmu:100217423	Snord19, MBII-108; small nucleolar RNA, C/D box 19
mmu:100217421	Snord11, MBII-95; small nucleolar RNA, C/D box 11
mmu:100217414	Scarna3a, MBI-114; small Cajal body-specific RNA 3A
mmu:243270	Hcar1, Gpr81; hydrocarboxylic acid receptor 1; K08401 G protein-coupled receptor 81
mmu:100303751	Snora31, MBI-161; small nucleolar RNA, H/ACA box 31
mmu:100303747	Gm12238, Mbi-39, OTTMUSG00000005697; predicted gene 12238
mmu:100303746	Snora20, MBI-125; small nucleolar RNA, H/ACA box 20
mmu:100303740	Snora75, MBI-55; small nucleolar RNA, H/ACA box 75
mmu:100303736	Snora35, MBI-36; small nucleolar RNA, H/ACA box 35
mmu:100303647	MBII-426; snoRNA AF357359
mmu:320749	D630041G03Rik; RIKEN cDNA D630041G03 gene
mmu:103729	expressed sequence AI450353
mmu:100302731	Snord7; small nucleolar RNA, C/D box 7
mmu:414121	E430016F16Rik; RIKEN cDNA E430016F16 gene
mmu:75030	4930503E24Rik; eukaryotic translation initiation factor 3, subunit I pseudogene
mmu:100302601	Snord83b, MBII-10; small nucleolar RNA, C/D box 83B
mmu:100302600	Snord43, MBII-47; small nucleolar RNA, C/D box 43
mmu:100302567	MBI-142; snoRNA AF357399
mmu:100302565	Snord68, MBII-202; small nucleolar RNA, C/D box 68
mmu:68386	0610039K10Rik; RIKEN cDNA 0610039K10 gene
mmu:100302529	Snord72, MBII-240; small nucleolar RNA, C/D box 72
mmu:100302499	Snora3, MBI-28; small nucleolar RNA, H/ACA box 3
mmu:100302498	Snora21, MBI-3; small nucleolar RNA, H/ACA box 21
mmu:68204	2900060B14Rik; RIKEN cDNA 2900060B14 gene
mmu:654796	RIKEN cDNA 9530036O11Rik
mmu:19874	Rny3; RNA, Y3 small cytoplasmic (associated with Ro protein)
mmu:100045653	Gm17769; predicted gene, 17769
mmu:71304	Wbscr25, 4933433J03Rik, 4933439O14Rik; Williams Beuren syndrome chromosome region 25 (human)
mmu:75809	4930488L21Rik, 4930452J22Rik; RIKEN cDNA 4930488L21 gene
mmu:331480	Gm5126, EG331480; predicted pseudogene 5126
mmu:100040248	Gm11563, 2310045F10Rik, OTTMUSG00000002200; predicted gene 11563
mmu:353373	Rnu11, MBII-407, Mirn801, mir-801, mmu-mir-801; U11 small nuclear RNA
mmu:629159	1700008J07Rik, AW048743; RIKEN cDNA 1700008J07 gene
mmu:619665	Klf14, 5330411L03Rik, AL022736, BTEB5; Kruppel-like factor 14; K09208 krueppel-like factor 9/13/14/16
mmu:383563	Gpr25, Gm1300; G protein-coupled receptor 25; K08405 G protein-coupled receptor 25
mmu:77633	4930594C11Rik; G1 to S phase transition pseudogene
mmu:74662	4930448K20Rik, 1700009K09Rik; glyceraldehyde-3-phosphate dehydrogenase pseudogene
mmu:624367	Gm6498, EG624367; glyceraldehyde-3-phosphate dehydrogenase pseudogene
mmu:195555	Pramef6, Gm13099, OTTMUSG00000010429; PRAME family member 6
mmu:664849	Gm7367, EG664849; 1110014K08Rik pseudogene
mmu:100134990	Gm12060, OTTMUSG00000005275; selenoprotein K pseudogene
mmu:12671	Chrm3, Chrm-3, M3, M3R; cholinergic receptor, muscarinic 3, cardiac; K04131 muscarinic acetylcholine receptor M3
mmu:668272	Gm9079; transmembrane emp24 domain trafficking protein 2 pseudogene
mmu:665615	Gm7714, EG665615; predicted gene 7714
mmu:258536	Olfr1360, MOR256-10, MOR256-35; olfactory receptor 1360; K04257 olfactory receptor
mmu:104367	Snora65, MBII-351, Rnu65; small nucleolar RNA, H/ACA box 65
mmu:258259	Olfr1338, MOR259-4P, MOR259-9, Olfr1524-ps1; olfactory receptor 1338; K04257 olfactory receptor
mmu:432987	Gm5478, EG432987; predicted pseudogene 5478
mmu:73353	Actrt2, 1700052K15Rik, Arp-T2, Arpm2; actin-related protein T2
mmu:14723	Gp1ba, GPIba, GPIbalpha; glycoprotein 1b, alpha polypeptide; K06261 platelet glycoprotein Ib alpha chain
mmu:17910	Myo15, Myo15a, sh-2, sh2; myosin XV; K10361 myosin XV
mmu:100113364	Snora15, MBI-79; small nucleolar RNA, H/ACA box 15
mmu:108950	1700049L16Rik; hematological and neurological expressed 1-like pseudogene
mmu:432649	Gm5434, EG432649; ubiquitin-conjugating enzyme E2F (putative) pseudogene
mmu:78482	1700123L14Rik; nucleoporin 50 pseudogene
mmu:436332	Gm5766, EG436332; ribosomal protein L7a pseudogene
mmu:546723	Ppp1r2-ps3, EG546723, Gm5972; protein phosphatase 1, regulatory (inhibitor) subunit 2, pseudogene 3
mmu:245598	4921511C20Rik, Gm383; high density lipoprotein (HDL) binding protein pseudogene
mmu:77781	Epm2aip1, A930003G21Rik, mKIAA0766; EPM2A (laforin) interacting protein 1
mmu:66755	4933415F23Rik; RIKEN cDNA 4933415F23 gene
mmu:402728	Pax6os1, 4831410G09Rik, Pax6os; paired box 6 opposite strand 1
mmu:93967	Klra20, Ly49t; killer cell lectin-like receptor subfamily A, member 20
mmu:435565	Iigp1b; interferon inducible GTPase 1B
mmu:664724	Cypt9; cysteine-rich perinuclear theca 9
mmu:664726	Cypt10; cysteine-rich perinuclear theca 10
mmu:664723	Cypt8; cysteine-rich perinuclear theca 8
mmu:319823	F630003A18Rik, Cd200r5; RIKEN cDNA F630003A18 gene
mmu:19861	Rnu3b4, 1810064A23Rik, Rnu3b-4; U3B small nuclear RNA 4
mmu:664725	Cypt7; cysteine-rich perinuclear theca 7
mmu:100034726	Gm15772, OTTMUSG00000026108; ribosomal protein L26 pseudogene
mmu:666043	Gm7904, EG666043; predicted gene 7904
mmu:625054	Gm6548, EG625054; eukaryotic translation elongation factor 1 alpha 1 pseudogene
mmu:58238	Fam181b, A830059I20Rik, AB041569; family with sequence similarity 181, member B
mmu:382423	Atxn7l3b, 4921506J03Rik, 6230409E21Rik, AI315132; ataxin 7-like 3B
mmu:75070	4930515G16Rik; myc induced nuclear antigen pseudogene
mmu:279610	E530001F21Rik; RIKEN cDNA E530001F21 gene
mmu:353374	Snord61, MBII-342, Rnu61; small nucleolar RNA, C/D box 61
